Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,1_M,1_P,1_N,1_WKND,1_totH,1_avgH,2_M,2_P,2_N,2_WKND,2_totH,2_avgH,3_M,3_P,3_N,3_WKND,3_totH,3_avgH,4_M,4_P,4_N,4_WKND,4_totH,4_avgH,5_M,5_P,5_N,5_WKND,5_totH,5_avgH,6_M,6_P,6_N,6_WKND,6_totH,6_avgH
1,47,6,9,0,0,18,9.0,*,,,,*,*,,,,9,3,1,1,138,31.9,9,1,0,2,150,34.6,14,3,1,2,150,34.6,15,4,0,1,138,31.9,14,4,1,1,132,30.5,13,4,2,1,138,31.9
2,15,6,9,0,0,18,10.0,*,,,,*,*,,,,10,2,2,0,138,31.9,8,2,0,2,150,34.6,15,3,0,2,144,33.3,14,4,1,1,132,30.5,15,4,0,2,150,34.6,12,4,2,1,132,30.5
3,98,6,9,0,0,24,10.0,*,,,,*,*,,,,9,3,1,1,138,31.9,9,2,1,2,150,34.6,14,4,0,2,132,30.5,14,4,1,1,132,30.5,15,3,0,2,156,36.0,13,3,2,0,132,30.5
4,44,6,9,0,0,24,12.0,*,,,,*,*,,,,10,2,1,0,126,29.1,9,1,1,2,150,34.6,14,3,1,2,150,34.6,15,4,0,2,150,34.6,15,4,0,1,138,31.9,11,5,2,1,132,30.5
5,6,6,9,0,0,24,14.0,*,,,,*,*,,,,11,0,2,1,156,36.0,9,2,1,2,150,34.6,13,5,0,2,132,30.5,15,4,0,1,138,31.9,13,6,0,2,138,31.9,14,2,2,0,132,30.5
6,62,6,9,0,0,30,12.0,*,,,,*,*,,,,11,1,1,0,150,34.6,6,3,1,2,144,33.3,14,2,2,2,144,33.3,15,4,0,2,138,31.9,15,4,0,2,150,34.6,13,5,1,0,120,27.7
7,73,6,9,0,0,30,14.0,*,,,,*,*,,,,11,2,0,1,132,30.5,8,1,1,2,156,36.0,14,4,1,2,156,36.0,15,4,0,2,138,31.9,14,5,0,1,126,29.1,12,3,3,0,138,31.9
8,63,6,9,0,0,30,15.0,*,,,,*,*,,,,11,3,0,0,126,29.1,8,1,1,1,144,33.3,13,3,3,2,156,36.0,16,3,0,2,150,34.6,16,3,0,2,150,34.6,11,6,1,1,126,29.1
9,10,6,9,0,0,36,9.0,*,,,,*,*,,,,10,3,0,1,120,27.7,8,1,1,2,156,36.0,13,4,1,1,138,31.9,14,4,1,1,132,30.5,15,3,0,2,156,36.0,13,4,2,1,138,31.9
10,5,6,9,0,0,36,10.0,*,,,,*,*,,,,9,4,1,0,120,27.7,9,2,0,1,138,31.9,13,3,2,1,144,33.3,15,3,1,2,156,36.0,15,4,0,2,138,31.9,14,3,1,2,150,34.6
11,23,6,9,0,0,36,10.0,*,,,,*,*,,,,10,2,2,0,126,29.1,7,3,1,2,156,36.0,13,3,2,2,144,33.3,15,4,0,2,138,31.9,15,3,0,2,156,36.0,14,4,0,0,120,27.7
12,54,6,9,0,0,36,10.0,*,,,,*,*,,,,10,3,1,1,144,33.3,9,1,1,1,138,31.9,13,5,0,1,120,27.7,15,4,0,2,150,34.6,15,3,1,1,144,33.3,13,3,2,2,156,36.0
13,61,6,9,0,0,36,10.0,*,,,,*,*,,,,9,4,1,0,120,27.7,8,2,1,2,156,36.0,14,4,0,2,144,33.3,15,4,0,2,138,31.9,15,3,1,2,156,36.0,14,2,2,0,132,30.5
14,51,6,9,0,0,36,11.0,*,,,,*,*,,,,9,4,1,0,120,27.7,9,1,0,1,138,31.9,13,4,1,2,138,31.9,16,3,0,2,150,34.6,14,4,1,2,156,36.0,13,3,2,1,144,33.3
15,43,6,9,0,0,36,12.0,*,,,,*,*,,,,9,4,0,1,120,27.7,9,1,0,2,150,34.6,14,4,0,1,132,30.5,14,5,1,1,138,31.9,16,2,1,2,156,36.0,12,3,3,1,150,34.6
16,95,6,9,0,0,36,12.0,*,,,,*,*,,,,11,2,0,1,144,33.3,8,1,1,2,156,36.0,13,4,1,1,138,31.9,14,5,0,2,138,31.9,16,3,1,2,150,34.6,12,4,2,0,120,27.7
17,99,6,9,0,0,36,12.0,*,,,,*,*,,,,9,3,2,0,138,31.9,8,1,1,2,156,36.0,13,4,1,2,138,31.9,16,3,0,1,138,31.9,15,3,1,2,156,36.0,13,5,0,1,120,27.7
18,60,6,9,0,0,48,11.0,*,,,,*,*,,,,9,4,0,0,108,24.9,9,1,0,2,150,34.6,14,4,1,2,144,33.3,14,4,1,2,144,33.3,15,3,1,2,156,36.0,13,3,2,0,144,33.3
19,59,6,9,0,0,48,14.0,*,,,,*,*,,,,10,3,0,0,108,24.9,9,1,0,1,150,34.6,13,3,3,2,156,36.0,14,5,0,2,138,31.9,14,5,0,2,138,31.9,14,2,2,1,156,36.0
20,100,7,9,1,1,24,6.0,*,,,,*,,,,,10,2,1,1,150,34.6,8,2,1,1,144,33.3,14,3,1,2,150,34.6,15,4,0,1,126,29.1,15,4,1,2,150,34.6,13,4,1,1,126,29.1
21,81,7,9,1,1,24,9.0,*,,,,*,,,,,11,2,1,0,144,33.3,7,3,1,2,144,33.3,14,3,1,1,138,31.9,16,3,0,2,150,34.6,14,3,1,2,138,31.9,12,5,1,1,126,29.1
