Date,Day,Festivity,Night_Coverage,Morning_Staff,Afternoon_Staff,Night_Staff,1,2,3,4,5,6,Warnings
01/10/2025,Wednesday,*,*,1,1,1,,MP,,,N,,
02/10/2025,Thursday,,,4,1,0,P,M,M,M,,M,
03/10/2025,Friday,,*,4,1,1,(D-NP) M,M,M,P,M,N,
04/10/2025,Saturday,,,1,1,0,(F),(D-M),MP,,,,
05/10/2025,Sunday,,,1,1,0,(F),,,,,MP,
06/10/2025,Monday,,,3,1,0,F,(T),P,M,M,M,
07/10/2025,Tuesday,,,3,1,0,F,(T),M,M,M,P,
08/10/2025,Wednesday,,,3,1,0,F,(T),M,P,M,M,
09/10/2025,Thursday,,*,2,1,1,F,(T) P,(D-MP) N,M,M,(D-MP),
10/10/2025,Friday,,,2,1,0,F,(T),,(D-P) M,P,M,
11/10/2025,Saturday,,,1,1,0,(F),,MP,,,(D-W),
12/10/2025,Sunday,*,,1,1,0,(D-W),MP,,,,(D-W),
13/10/2025,Monday,,,4,1,0,P,(T),M,M,M,M,
14/10/2025,Tuesday,,,3,1,0,(D-M),(T),P,M,M,M,
15/10/2025,Wednesday,,,4,1,0,M,(T),M,P,M,M,
16/10/2025,Thursday,,,4,1,0,M,(T),M,M,(D-N) P,M,
17/10/2025,Friday,,*,3,1,1,N,(T),(D-N) M,(D-NP) M,(D-NP) M,P,
18/10/2025,Saturday,,,1,1,0,(D-W),MP,,,,(D-W),
19/10/2025,Sunday,,,1,1,0,(D-W),,,,MP,(D-W),
20/10/2025,Monday,,,5,1,0,(D-N) M,M,M,M,M,P,
21/10/2025,Tuesday,,,5,1,0,M,M,M,M,P,M,
22/10/2025,Wednesday,*,,1,1,0,,,,MP,,,
23/10/2025,Thursday,*,,1,1,0,,,MP,(D-M),,,
24/10/2025,Friday,,,5,1,0,P,M,M,M,M,M,
25/10/2025,Saturday,,*,1,1,1,MP,,,,,N,
26/10/2025,Sunday,,,1,1,0,,,,MP,,,
27/10/2025,Monday,,,5,1,0,M,M,M,M,P,M,
28/10/2025,Tuesday,,,5,1,0,M,M,P,M,M,M,
29/10/2025,Wednesday,*,,1,1,0,MP,,,,,,
30/10/2025,Thursday,,,5,1,0,M,M,M,P,M,M,
31/10/2025,Friday,,,5,1,0,M,M,M,M,M,P,

,,,,,,STAFF STATISTICS,,,,,,

,,,,,,Total_Hours,138,150,150,138,132,138,
,,,,,,Vacation_Hours,30,0,0,0,0,0,
,,,,,,Morning_Shifts,9,9,14,15,14,13,
,,,,,,Afternoon_Shifts,3,1,3,4,4,4,
,,,,,,MP_Shifts,2,3,3,2,1,1,
,,,,,,Night_Shifts,1,0,1,0,1,2,
,,,,,,Ferie_Days,5,0,0,0,0,0,
,,,,,,Tirocinio_Days,0,9,0,0,0,0,
,,,,,,Weekend_Days,1,2,2,1,1,1,
,,,,,,Avg_Hours_Per_Week,31.2,33.9,33.9,31.2,29.8,31.2,
,,,,,,Night_Priority,1,1,1,1,1,1,
,,,,,,Weekend_Priority,1,1,1,1,1,1,
