Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,caio_M,caio_P,caio_N,caio_WKND,caio_totH,caio_avgH,genoveffa_M,genoveffa_P,genoveffa_N,genoveffa_WKND,genoveffa_totH,genoveffa_avgH,pallo_M,pallo_P,pallo_N,pallo_WKND,pallo_totH,pallo_avgH,pinco_M,pinco_P,pinco_N,pinco_WKND,pinco_totH,pinco_avgH,sempronio_M,sempronio_P,sempronio_N,sempronio_WKND,sempronio_totH,sempronio_avgH,tizio_M,tizio_P,tizio_N,tizio_WKND,tizio_totH,tizio_avgH
1,10,7,9,0,0,18,11.0,*,,,,*,,,,,14,4,1,2,144,33.3,14,3,1,2,138,31.9,8,1,1,0,132,30.5,11,1,1,1,150,34.6,15,4,0,2,150,34.6,12,6,1,1,132,30.5
2,76,7,9,0,0,24,8.0,*,,,,*,,,,,14,4,1,1,132,30.5,14,3,1,1,138,31.9,8,1,1,2,156,36.0,10,2,1,1,150,34.6,15,4,0,2,138,31.9,13,5,1,1,132,30.5
3,26,7,9,0,0,30,10.0,*,,,,*,,,,,14,5,1,0,126,29.1,12,5,1,2,138,31.9,9,1,0,2,150,34.6,9,3,1,0,126,29.1,16,2,1,2,156,36.0,14,3,1,2,150,34.6
4,56,7,9,0,0,42,9.0,*,,,,*,,,,,16,3,1,2,150,34.6,12,5,1,0,114,26.3,8,2,0,2,156,36.0,10,2,1,0,126,29.1,15,3,1,2,144,33.3,13,4,1,2,150,34.6
5,99,6,9,0,0,6,10.0,*,,,,*,*,,,,14,5,1,1,138,31.9,13,3,2,2,144,33.3,8,1,1,1,144,33.3,11,3,0,1,138,31.9,15,3,1,1,144,33.3,14,4,0,2,144,33.3
6,46,6,9,0,0,12,9.0,*,,,,*,*,,,,16,3,0,2,138,31.9,13,3,2,1,144,33.3,9,2,0,2,150,34.6,10,2,1,1,138,31.9,15,4,0,1,138,31.9,12,5,2,1,138,31.9
7,59,6,9,0,0,18,10.0,*,,,,*,*,,,,15,4,0,2,138,31.9,13,3,2,1,144,33.3,9,2,0,2,150,34.6,10,2,1,0,138,31.9,14,4,2,1,144,33.3,14,4,0,2,132,30.5
8,31,6,9,0,0,24,10.0,*,,,,*,*,,,,14,4,1,2,156,36.0,12,4,2,1,132,30.5,9,1,1,1,138,31.9,11,2,0,1,144,33.3,16,3,0,1,138,31.9,12,5,1,2,138,31.9
9,38,6,9,0,0,24,12.0,*,,,,*,*,,,,15,4,0,1,138,31.9,12,2,3,1,156,36.0,8,1,1,2,144,33.3,10,3,0,1,132,30.5,15,4,0,2,138,31.9,13,5,1,1,132,30.5
10,67,6,9,0,0,24,12.0,*,,,,*,*,,,,14,4,1,2,144,33.3,12,5,2,0,126,29.1,9,1,0,2,150,34.6,11,2,0,1,132,30.5,15,3,1,1,144,33.3,13,4,1,2,150,34.6
